browser,chromium,chromium,webkit,webkit,firefox,firefox
element,embed,object,embed,object,embed,object
file_ending,,,,,,
.3g2,True,True,False,False,True,True
.3gp,True,True,False,False,True,True
.7z,True,True,False,False,True,True
.ASP,True,True,True,True,True,True
.ASPX,True,True,True,True,True,True
.AVI,True,True,False,False,True,True
.Asp,True,True,True,True,True,True
.Aspx,True,True,True,True,True,True
.BAK,True,True,True,True,True,True
.C,True,True,True,True,True,True
.CFM,True,True,True,True,True,True
.COM,False,False,True,True,True,True
.CSS,True,True,False,False,True,True
.Config,True,True,True,True,True,True
.DOC,False,False,False,False,True,True
.EXE,False,False,False,False,True,True
.GIF,False,True,False,True,True,True
.GetMapImage,True,True,True,True,True,True
.Gif,False,True,False,True,True,True
.HTM,True,True,True,True,True,True
.HTML,True,True,True,True,True,True
.Html,True,True,True,True,True,True
.ICO,False,True,False,True,True,True
.JPEG,False,True,False,True,True,True
.JPG,False,True,False,True,True,True
.JS,True,True,True,True,True,True
.Jpeg,False,True,False,True,True,True
.Jpg,False,True,False,True,True,True
.LCK,True,True,True,True,True,True
.LOG,True,True,True,True,True,True
.MOV,True,True,False,False,True,True
.MP3,True,True,False,False,True,True
.MPEG,False,False,False,False,True,True
.Master,True,True,True,True,True,True
.NSF,True,True,True,True,True,True
.OLD,True,True,True,True,True,True
.PAGE,True,True,True,True,True,True
.PDF,False,False,False,False,True,True
.PHP,True,True,False,False,True,True
.PNG,False,True,False,True,True,True
.PPT,False,False,False,False,True,True
.Pdf,False,False,False,False,True,True
.PhP,True,True,False,False,True,True
.Run,True,True,True,True,True,True
.SWF,False,False,False,False,True,True
.Skins,True,True,True,True,True,True
.TTF,True,True,False,False,True,True
.TXT,True,True,True,True,True,True
.Templates,True,True,True,True,True,True
.WAV,True,True,False,False,True,True
.WMV,True,True,False,False,True,True
.Web,True,True,True,True,True,True
.XLS,False,False,False,False,True,True
.XML,True,True,True,True,True,True
.Z,True,True,False,False,True,True
.ZIP,False,False,False,False,True,True
.Zif,True,True,True,True,True,True
.Zip,False,False,False,False,True,True
.a,True,True,True,True,True,True
.aac,True,True,False,False,True,True
.abw,True,True,True,True,True,True
.access,True,True,True,True,True,True
.acgi,True,True,True,True,True,True
.action,True,True,True,True,True,True
.add,True,True,True,True,True,True
.adp,True,True,True,True,True,True
.ai,False,False,False,False,True,True
.ajax,True,True,True,True,True,True
.alt,True,True,True,True,True,True
.app,True,True,True,True,True,True
.apsx,True,True,True,True,True,True
.aquery,True,True,True,True,True,True
.arc,True,True,True,True,True,True
.asax,True,True,True,True,True,True
.asc,True,True,True,True,True,True
.ascx,True,True,True,True,True,True
.asf,True,True,False,False,True,True
.ashx,True,True,True,True,True,True
.asm,True,True,True,True,True,True
.asmx,True,True,True,True,True,True
.asp,True,True,True,True,True,True
.aspx,True,True,True,True,True,True
.assets,True,True,True,True,True,True
.asx,True,True,False,False,True,True
.at,True,True,True,True,True,True
.au,True,True,False,False,True,True
.avi,True,True,False,False,True,True
.avif,False,True,False,True,True,True
.awm,True,True,True,True,True,True
.azw,True,True,True,True,True,True
.b,True,True,True,True,True,True
.back,True,True,True,True,True,True
.backup,True,True,True,True,True,True
.bad,True,True,True,True,True,True
.bak,True,True,True,True,True,True
.bak2,True,True,True,True,True,True
.bat,True,True,True,True,True,True
.bck,True,True,True,True,True,True
.bhtml,True,True,True,True,True,True
.bin,False,False,False,False,True,True
.bk,True,True,True,True,True,True
.bkp,True,True,True,True,True,True
.blog,True,True,True,True,True,True
.bml,True,True,True,True,True,True
.bmp,False,True,False,True,True,True
.bok,True,True,True,True,True,True
.bsp,True,True,True,True,True,True
.btr,True,True,True,True,True,True
.bu,True,True,True,True,True,True
.bz,True,True,False,False,True,True
.bz2,True,True,False,False,True,True
.c,True,True,True,True,True,True
