,browser,element,file_ending,executes
0,chromium,embed,.a,True
1,chromium,embed,.access,True
2,chromium,embed,.acgi,True
3,chromium,embed,.action,True
4,chromium,embed,.add,True
5,chromium,embed,.adp,True
6,chromium,embed,.ai,False
7,chromium,embed,.ajax,True
8,chromium,embed,.alt,True
9,chromium,embed,.app,True
10,chromium,embed,.apsx,True
11,chromium,embed,.aquery,True
12,chromium,embed,.asax,True
13,chromium,embed,.asc,True
14,chromium,embed,.ascx,True
15,chromium,embed,.asf,True
16,chromium,embed,.ashx,True
17,chromium,embed,.asm,True
18,chromium,embed,.asmx,True
19,chromium,embed,.asp,True
20,chromium,embed,.Asp,True
21,chromium,embed,.ASP,True
22,chromium,embed,.aspx,True
23,chromium,embed,.Aspx,True
24,chromium,embed,.ASPX,True
25,chromium,embed,.assets,True
26,chromium,embed,.asx,True
27,chromium,embed,.at,True
28,chromium,embed,.au,True
29,chromium,embed,.avi,True
30,chromium,embed,.AVI,True
31,chromium,embed,.awm,True
32,chromium,embed,.b,True
33,chromium,embed,.back,True
34,chromium,embed,.backup,True
35,chromium,embed,.bad,True
36,chromium,embed,.bak,True
37,chromium,embed,.BAK,True
38,chromium,embed,.bak2,True
39,chromium,embed,.bat,True
40,chromium,embed,.bck,True
41,chromium,embed,.bhtml,True
42,chromium,embed,.bin,False
43,chromium,embed,.bk,True
44,chromium,embed,.bkp,True
45,chromium,embed,.blog,True
46,chromium,embed,.bml,True
47,chromium,embed,.bmp,False
48,chromium,embed,.bok,True
49,chromium,embed,.bsp,True
50,chromium,embed,.btr,True
51,chromium,embed,.bu,True
52,chromium,embed,.bz2,True
53,chromium,embed,.c,True
54,chromium,embed,.C,True
55,chromium,embed,.ca,True
56,chromium,embed,.cab,True
57,chromium,embed,.cache,True
58,chromium,embed,.captcha,True
59,chromium,embed,.cat,True
60,chromium,embed,.cc,True
61,chromium,embed,.cdr,True
62,chromium,embed,.cer,False
63,chromium,embed,.cfc,True
64,chromium,embed,.cfg,True
65,chromium,embed,.cfm,True
66,chromium,embed,.CFM,True
67,chromium,embed,.cfml,True
68,chromium,embed,.cgi,True
69,chromium,embed,.chm,True
70,chromium,embed,.class,True
71,chromium,embed,.cmd,True
72,chromium,embed,.cms,True
73,chromium,embed,.cn,True
74,chromium,embed,.cnf,True
75,chromium,embed,.co,True
76,chromium,embed,.code,True
77,chromium,embed,.com,False
78,chromium,embed,".com,",True
79,chromium,embed,.COM,False
80,chromium,embed,.common,True
81,chromium,embed,.conf,True
82,chromium,embed,.config,True
83,chromium,embed,.Config,True
84,chromium,embed,.content,True
85,chromium,embed,.contrib,True
86,chromium,embed,.copy,True
87,chromium,embed,.core,True
88,chromium,embed,.count,True
89,chromium,embed,.cp,True
90,chromium,embed,.crt,False
91,chromium,embed,.cs,True
92,chromium,embed,.csi,True
93,chromium,embed,.csp,True
94,chromium,embed,.csproj,True
95,chromium,embed,.css,True
96,chromium,embed,.CSS,True
97,chromium,embed,.csshandler,True
98,chromium,embed,.csv,False
99,chromium,embed,.cur,True
100,chromium,embed,.custom,True
101,chromium,embed,.cz,True
102,chromium,embed,.d,True
103,chromium,embed,.dat,True
104,chromium,embed,.data,True
105,chromium,embed,.db,True
106,chromium,embed,.dbf,True
107,chromium,embed,.dcr,True
108,chromium,embed,.de,True
109,chromium,embed,.deb,True
110,chromium,embed,.default,True
111,chromium,embed,.delete,True
112,chromium,embed,.detail,True
113,chromium,embed,.details,True
114,chromium,embed,.dev,True
115,chromium,embed,.dhtml,True
116,chromium,embed,.dic,True
117,chromium,embed,.dict,True
118,chromium,embed,.diff,True
119,chromium,embed,.dir,True
120,chromium,embed,.disabled,True
121,chromium,embed,.dist,True
122,chromium,embed,.divx,True
